,Close,High,Low,Open,Volume,rsi_14,rsi_30,roc_9,mom_30,macd,ema_10,ema_30,ema_200,%k_10,%d_10,%k_30,%d_30,%k_200,%d_200,bb_mavg,bb_high,bb_low,atr_14,cci_20,cmf_20,obv,adl
2024-08-18,58483.96484375,60262.71875,58445.40234375,59468.1328125,17740625837,44.54253566651524,45.732480058215636,-3.93584753436714,-12.331242900139362,-1169.9084810617496,59167.06076570267,60757.171367271934,59425.15410884492,41.344910773458956,51.33572943788378,44.87008339740382,47.11476882301063,52.100142849351236,53.56976913069031,59840.8587890625,65987.63952058919,53694.07805753581,2931.3308450553805,-26.13830722040563,-0.0796681200569703,1066120599430,4639612260281.6
2024-08-19,59493.453125,59612.66015625,57864.7109375,58480.7109375,25911207712,47.3167235228647,47.05973408687534,-2.383033904093083,-11.420158807539467,-1071.172542033586,59226.40483102945,60675.6411580931,59425.83370104548,59.31671684160089,53.41907048500418,49.707971491862345,48.07220998221626,54.71970075277055,54.01399440974757,59505.4806640625,64915.36223005762,54095.59909806739,2846.803586033567,-20.751798363625706,-0.05141030773985116,1092031807142,4661989271331.2295
2024-08-20,59012.79296875,61396.328125,58610.8828125,59493.453125,31613400008,46.133375166506504,46.499559994122905,0.4995081221709042,-13.4132409819185,-1019.9514906778059,59187.56631061501,60568.360629748386,59421.72384301269,50.75957826629086,50.473735293783555,47.40444792393836,47.32750093773483,53.19308083831407,53.337641480145294,59225.1578125,64100.70043075786,54349.61519424214,2842.4208522097406,16.5381711643509,-0.04243891582893641,1060418407134,4639498826622.184
2024-08-21,61175.19140625,61834.3515625,58823.4453125,59014.98828125,32731154072,51.95481121719945,49.30780809168092,3.067459589347799,-9.484404650053081,-795.698637869973,59548.952691639555,60607.51100242591,59439.171281452866,88.38025210952014,66.15218240580394,57.76756144448669,51.62666028676245,60.061052886240766,55.99127815910847,59016.0423828125,63119.138876090154,54912.94588953484,2854.4555234804734,71.43802569655602,-0.06666997258615852,1093149561206,4657898699119.182
2024-08-22,60381.9140625,61408.109375,59815.25390625,61168.31640625,27625734377,49.827394534537184,48.34477708480432,-0.37560464007299793,-8.411881771003308,-674.2155511217279,59700.40021361418,60592.95636114037,59448.55180663741,74.39627165468735,71.17870067683278,53.965846171299305,53.04595184657478,57.541532649522814,56.93188879135922,58964.384765625,62970.22857580556,54958.54095544444,2764.341233856868,77.26747220155208,-0.024068026529089133,1065523826829,4649928737994.323
2024-08-23,64094.35546875,64947.0625,60372.05078125,60380.953125,42530509233,58.41025885426547,52.80708176999623,9.120420442168951,-1.9546208587303004,-275.20395444009046,60499.30116909342,60818.85307776035,59494.77870874799,90.29412026250733,84.35688134223825,71.75741088211723,61.163606165967735,69.07306255832746,62.225216031363686,59135.0978515625,63674.349025477844,54595.84667764716,2893.674839920663,189.84302448514626,0.0264486267512733,1108054336062,4676605270671.595
2024-08-24,64178.9921875,64513.7890625,63619.91796875,64103.87109375,21430585163,58.58420527050964,52.90303516981471,11.499102330885822,-2.429768566604727,47.299843366781715,61168.335899712794,61035.636246130656,59541.38779808881,91.25749195226493,85.31596128981985,72.16302527269504,65.96209410870385,69.09975101436142,65.2381154074039,59438.1986328125,64450.002769856,54426.394495769,2750.8317151941874,198.79179371466776,0.058881724870694464,1129484921225,4681982326433.8545
2024-08-25,64333.54296875,64996.421875,63833.51953125,64176.3671875,18827683555,58.92206385162642,53.08323204846058,9.235962507124313,-5.269343029082647,311.7635667240975,61743.82809408319,61248.40442178352,59589.07093411529,91.59466031079008,91.04875750852075,72.90369695604811,72.27471103695345,67.99053352054192,68.7211156977436,59955.3029296875,64741.540879407585,55169.06497996742,2637.4081886624595,193.31694539925226,0.05159407222021823,1148312604780,4679345655136.986
2024-08-26,62880.66015625,64489.70703125,62849.55859375,64342.2265625,27682040631,54.42708077997357,51.17896234244862,5.71914299808027,-7.273902268716273,399.5121448049249,61950.524832658964,61353.711243362006,59621.82306567882,70.33304157597175,84.3950646130089,65.9408776823725,70.33586663703854,61.847322598562755,66.31253571115536,60297.6201171875,64888.48772594226,55706.75250843274,2566.1753492937123,133.74303647798484,-0.020796004010250845,1120630564149,4652713464259.981
2024-08-27,59504.1328125,63210.796875,58116.75,62879.70703125,39103882198,45.701321349285834,47.11548615277346,1.7443550064971736,-12.821951775894725,194.35557719241478,61505.726283539145,61234.38360266123,59620.65201838352,22.987777959137173,61.63849328196631,49.75915300032405,62.86790921291487,46.93212825599046,58.92332812503171,60521.4537109375,64451.67868605541,56591.22873581959,2746.7376011298757,-10.915842023955948,0.0014572147262678094,1081526681951,4634909760640.935
